nombre;apellido;codigo_estudiante;contrasena_estudiante;tipo_documento_id;num_documento;correo;jornada
Daniela;Castro;EST0079;Pass8310;1;100000079;daniela.castro79@correo.com;NOC
Juan;Ram¡rez;EST0080;Pass3352;1;100000080;juan.ram¡rez80@correo.com;DIU
Valentina;Ram¡rez;EST0081;Pass7078;1;100000081;valentina.ram¡rez81@correo.com;NOC
Andr‚s;G¢mez;EST0082;Pass4636;1;100000082;andr‚s.g¢mez82@correo.com;DIU
Andr‚s;P‚rez;EST0083;Pass8253;1;100000083;andr‚s.p‚rez83@correo.com;NOC
Valentina;S nchez;EST0084;Pass9145;1;100000084;valentina.s nchez84@correo.com;DIU
Juan;L¢pez;EST0085;Pass1833;1;100000085;juan.l¢pez85@correo.com;NOC
Camilo;Mart¡nez;EST0086;Pass9478;1;100000086;camilo.mart¡nez86@correo.com;NOC
Daniela;P‚rez;EST0087;Pass8979;1;100000087;daniela.p‚rez87@correo.com;DIU
Daniela;Hern ndez;EST0088;Pass1007;1;100000088;daniela.hern ndez88@correo.com;NOC
Mar¡a;Castro;EST0089;Pass4542;1;100000089;mar¡a.castro89@correo.com;DIU
Sof¡a;G¢mez;EST0090;Pass5497;1;100000090;sof¡a.g¢mez90@correo.com;NOC
Mar¡a;Castro;EST0091;Pass1288;1;100000091;mar¡a.castro91@correo.com;DIU
Luis;S nchez;EST0092;Pass3902;1;100000092;luis.s nchez92@correo.com;NOC
Luis;S nchez;EST0093;Pass1229;1;100000093;luis.s nchez93@correo.com;DIU
Andr‚s;Castro;EST0094;Pass9047;1;100000094;andr‚s.castro94@correo.com;NOC
Daniela;Rodr¡guez;EST0095;Pass8603;1;100000095;daniela.rodr¡guez95@correo.com;DIU
Valentina;Rodr¡guez;EST0096;Pass4515;1;100000096;valentina.rodr¡guez96@correo.com;NOC
Daniela;P‚rez;EST0097;Pass4762;1;100000097;daniela.p‚rez97@correo.com;DIU
Daniela;Castro;EST0098;Pass8262;1;100000098;daniela.castro98@correo.com;NOC
Mar¡a;Ram¡rez;EST0099;Pass8883;1;100000099;mar¡a.ram¡rez99@correo.com;DIU
Andr‚s;S nchez;EST0100;Pass1329;1;100000100;andr‚s.s nchez100@correo.com;NOC
Sof¡a;Rodr¡guez;EST0101;Pass1009;1;100000101;sof¡a.rodr¡guez101@correo.com;DIU
Juan;Torres;EST0102;Pass8849;1;100000102;juan.torres102@correo.com;NOC
Valentina;P‚rez;EST0103;Pass1867;1;100000103;valentina.p‚rez103@correo.com;NOC
Juan;Torres;EST0104;Pass6756;1;100000104;juan.torres104@correo.com;DIU
Daniela;Ram¡rez;EST0105;Pass8802;1;100000105;daniela.ram¡rez105@correo.com;NOC
Luis;Torres;EST0106;Pass2533;1;100000106;luis.torres106@correo.com;DIU
Mar¡a;G¢mez;EST0107;Pass0952;1;100000107;mar¡a.g¢mez107@correo.com;NOC
Sof¡a;Torres;EST0108;Pass2279;1;100000108;sof¡a.torres108@correo.com;DIU
Daniela;G¢mez;EST0109;Pass6196;1;100000109;daniela.g¢mez109@correo.com;NOC
Ana;Mart¡nez;EST0110;Pass8583;1;100000110;ana.mart¡nez110@correo.com;DIU
Juan;Rodr¡guez;EST0111;Pass0172;1;100000111;juan.rodr¡guez111@correo.com;NOC
Valentina;G¢mez;EST0112;Pass0962;1;100000112;valentina.g¢mez112@correo.com;DIU
Andr‚s;G¢mez;EST0113;Pass8513;1;100000113;andr‚s.g¢mez113@correo.com;NOC
Ana;Hern ndez;EST0114;Pass4058;1;100000114;ana.hern ndez114@correo.com;DIU
Camilo;Castro;EST0115;Pass9308;1;100000115;camilo.castro115@correo.com;NOC
Sof¡a;Mart¡nez;EST0116;Pass8970;1;100000116;sof¡a.mart¡nez116@correo.com;DIU
Mar¡a;Torres;EST0117;Pass1385;1;100000117;mar¡a.torres117@correo.com;NOC
Juan;Hern ndez;EST0118;Pass2424;1;100000118;juan.hern ndez118@correo.com;DIU
Luis;Castro;EST0119;Pass5495;1;100000119;luis.castro119@correo.com;NOC
Juan;Hern ndez;EST0120;Pass6225;1;100000120;juan.hern ndez120@correo.com;NOC
Juan;Hern ndez;EST0121;Pass5277;1;100000121;juan.hern ndez121@correo.com;DIU
Luis;G¢mez;EST0122;Pass2106;1;100000122;luis.g¢mez122@correo.com;NOC
Camilo;S nchez;EST0123;Pass0661;1;100000123;camilo.s nchez123@correo.com;DIU
Ana;Ram¡rez;EST0124;Pass9047;1;100000124;ana.ram¡rez124@correo.com;NOC
Carlos;Rodr¡guez;EST0125;Pass0007;1;100000125;carlos.rodr¡guez125@correo.com;DIU
Daniela;Mart¡nez;EST0126;Pass2735;1;100000126;daniela.mart¡nez126@correo.com;NOC
Juan;Torres;EST0127;Pass4703;1;100000127;juan.torres127@correo.com;DIU
Ana;G¢mez;EST0128;Pass5791;1;100000128;ana.g¢mez128@correo.com;NOC
Luis;Rodr¡guez;EST0129;Pass0450;1;100000129;luis.rodr¡guez129@correo.com;DIU
Mar¡a;Hern ndez;EST0130;Pass1710;1;100000130;mar¡a.hern ndez130@correo.com;NOC
Luis;Rodr¡guez;EST0131;Pass8792;1;100000131;luis.rodr¡guez131@correo.com;DIU
Sof¡a;Rodr¡guez;EST0132;Pass5077;1;100000132;sof¡a.rodr¡guez132@correo.com;NOC
Juan;Hern ndez;EST0133;Pass2059;1;100000133;juan.hern ndez133@correo.com;DIU
Sof¡a;Rodr¡guez;EST0134;Pass0116;1;100000134;sof¡a.rodr¡guez134@correo.com;NOC
Camilo;P‚rez;EST0135;Pass1391;1;100000135;camilo.p‚rez135@correo.com;DIU
Camilo;L¢pez;EST0136;Pass5649;1;100000136;camilo.l¢pez136@correo.com;NOC
Ana;L¢pez;EST0137;Pass2419;1;100000137;ana.l¢pez137@correo.com;NOC
Sof¡a;Torres;EST0138;Pass3539;1;100000138;sof¡a.torres138@correo.com;DIU
Luis;G¢mez;EST0139;Pass3594;1;100000139;luis.g¢mez139@correo.com;NOC
Sof¡a;Mart¡nez;EST0140;Pass8714;1;100000140;sof¡a.mart¡nez140@correo.com;DIU
Camilo;Rodr¡guez;EST0141;Pass2133;1;100000141;camilo.rodr¡guez141@correo.com;NOC
Mar¡a;L¢pez;EST0142;Pass8232;1;100000142;mar¡a.l¢pez142@correo.com;DIU
Daniela;S nchez;EST0143;Pass2310;1;100000143;daniela.s nchez143@correo.com;NOC
Luis;Hern ndez;EST0144;Pass9840;1;100000144;luis.hern ndez144@correo.com;DIU
Juan;Hern ndez;EST0145;Pass9273;1;100000145;juan.hern ndez145@correo.com;NOC
Camilo;P‚rez;EST0146;Pass2436;1;100000146;camilo.p‚rez146@correo.com;DIU
Ana;Mart¡nez;EST0147;Pass3554;1;100000147;ana.mart¡nez147@correo.com;NOC
Ana;Rodr¡guez;EST0148;Pass3506;1;100000148;ana.rodr¡guez148@correo.com;DIU
Valentina;Torres;EST0149;Pass0216;1;100000149;valentina.torres149@correo.com;NOC
Carlos;G¢mez;EST0150;Pass8634;1;100000150;carlos.g¢mez150@correo.com;DIU
Daniela;L¢pez;EST0151;Pass7336;1;100000151;daniela.l¢pez151@correo.com;NOC
Daniela;G¢mez;EST0152;Pass1833;1;100000152;daniela.g¢mez152@correo.com;DIU
Camilo;Hern ndez;EST0153;Pass7267;1;100000153;camilo.hern ndez153@correo.com;NOC
Carlos;Ram¡rez;EST0154;Pass7248;1;100000154;carlos.ram¡rez154@correo.com;NOC
Luis;Castro;EST0155;Pass7063;1;100000155;luis.castro155@correo.com;DIU
Valentina;Hern ndez;EST0156;Pass4887;1;100000156;valentina.hern ndez156@correo.com;NOC
Valentina;S nchez;EST0157;Pass8294;1;100000157;valentina.s nchez157@correo.com;DIU
Sof¡a;S nchez;EST0158;Pass8129;1;100000158;sof¡a.s nchez158@correo.com;NOC
Daniela;S nchez;EST0159;Pass4013;1;100000159;daniela.s nchez159@correo.com;DIU
Mar¡a;G¢mez;EST0160;Pass4896;1;100000160;mar¡a.g¢mez160@correo.com;NOC
Ana;Castro;EST0161;Pass5912;1;100000161;ana.castro161@correo.com;DIU
Carlos;L¢pez;EST0162;Pass0664;1;100000162;carlos.l¢pez162@correo.com;NOC
Juan;Castro;EST0163;Pass9444;1;100000163;juan.castro163@correo.com;DIU
Daniela;Hern ndez;EST0164;Pass7729;1;100000164;daniela.hern ndez164@correo.com;NOC
Valentina;Torres;EST0165;Pass6534;1;100000165;valentina.torres165@correo.com;DIU
Carlos;S nchez;EST0166;Pass5309;1;100000166;carlos.s nchez166@correo.com;NOC
Camilo;S nchez;EST0167;Pass6113;1;100000167;camilo.s nchez167@correo.com;DIU
Valentina;P‚rez;EST0168;Pass9500;1;100000168;valentina.p‚rez168@correo.com;NOC
Mar¡a;Rodr¡guez;EST0169;Pass5224;1;100000169;mar¡a.rodr¡guez169@correo.com;DIU
Luis;G¢mez;EST0170;Pass5172;1;100000170;luis.g¢mez170@correo.com;NOC
Mar¡a;Torres;EST0171;Pass3519;1;100000171;mar¡a.torres171@correo.com;NOC
Ana;L¢pez;EST0172;Pass6454;1;100000172;ana.l¢pez172@correo.com;DIU
Daniela;G¢mez;EST0173;Pass9603;1;100000173;daniela.g¢mez173@correo.com;NOC
Mar¡a;Hern ndez;EST0174;Pass1076;1;100000174;mar¡a.hern ndez174@correo.com;DIU
Andr‚s;Rodr¡guez;EST0175;Pass4938;1;100000175;andr‚s.rodr¡guez175@correo.com;NOC
Valentina;Ram¡rez;EST0176;Pass4753;1;100000176;valentina.ram¡rez176@correo.com;DIU
Sof¡a;Ram¡rez;EST0177;Pass6518;1;100000177;sof¡a.ram¡rez177@correo.com;NOC
Ana;L¢pez;EST0178;Pass5973;1;100000178;ana.l¢pez178@correo.com;DIU
Sof¡a;Castro;EST0179;Pass6744;1;100000179;sof¡a.castro179@correo.com;NOC
Luis;Rodr¡guez;EST0180;Pass1431;1;100000180;luis.rodr¡guez180@correo.com;DIU
Valentina;Rodr¡guez;EST0181;Pass6408;1;100000181;valentina.rodr¡guez181@correo.com;NOC
Mar¡a;Mart¡nez;EST0182;Pass2841;1;100000182;mar¡a.mart¡nez182@correo.com;DIU
Daniela;Hern ndez;EST0183;Pass8712;1;100000183;daniela.hern ndez183@correo.com;NOC
Camilo;Castro;EST0184;Pass4005;1;100000184;camilo.castro184@correo.com;DIU
Carlos;Ram¡rez;EST0185;Pass4762;1;100000185;carlos.ram¡rez185@correo.com;NOC
Mar¡a;Torres;EST0186;Pass4998;1;100000186;mar¡a.torres186@correo.com;DIU
Andr‚s;Castro;EST0187;Pass2396;1;100000187;andr‚s.castro187@correo.com;NOC
Camilo;L¢pez;EST0188;Pass5032;1;100000188;camilo.l¢pez188@correo.com;NOC
Camilo;Ram¡rez;EST0189;Pass2112;1;100000189;camilo.ram¡rez189@correo.com;DIU
Carlos;P‚rez;EST0190;Pass7725;1;100000190;carlos.p‚rez190@correo.com;NOC
Sof¡a;S nchez;EST0191;Pass5635;1;100000191;sof¡a.s nchez191@correo.com;DIU
Luis;Torres;EST0192;Pass7668;1;100000192;luis.torres192@correo.com;NOC
Sof¡a;Hern ndez;EST0193;Pass6468;1;100000193;sof¡a.hern ndez193@correo.com;DIU
Andr‚s;Hern ndez;EST0194;Pass2338;1;100000194;andr‚s.hern ndez194@correo.com;NOC
Ana;Castro;EST0195;Pass4841;1;100000195;ana.castro195@correo.com;DIU
Ana;Castro;EST0196;Pass5354;1;100000196;ana.castro196@correo.com;NOC
Juan;G¢mez;EST0197;Pass8173;1;100000197;juan.g¢mez197@correo.com;DIU
Juan;P‚rez;EST0198;Pass3343;1;100000198;juan.p‚rez198@correo.com;NOC
Ana;G¢mez;EST0199;Pass3184;1;100000199;ana.g¢mez199@correo.com;DIU
Daniela;Torres;EST0200;Pass3754;1;100000200;daniela.torres200@correo.com;NOC
Daniela;Rodr¡guez;EST0201;Pass4854;1;100000201;daniela.rodr¡guez201@correo.com;DIU
Juan;Castro;EST0202;Pass7937;1;100000202;juan.castro202@correo.com;NOC
Camilo;Rodr¡guez;EST0203;Pass2994;1;100000203;camilo.rodr¡guez203@correo.com;DIU
Daniela;Ram¡rez;EST0204;Pass4730;1;100000204;daniela.ram¡rez204@correo.com;NOC
Luis;Ram¡rez;EST0205;Pass9134;1;100000205;luis.ram¡rez205@correo.com;NOC
Luis;Hern ndez;EST0206;Pass3301;1;100000206;luis.hern ndez206@correo.com;DIU
Sof¡a;G¢mez;EST0207;Pass8432;1;100000207;sof¡a.g¢mez207@correo.com;NOC
Luis;G¢mez;EST0208;Pass4265;1;100000208;luis.g¢mez208@correo.com;DIU
Carlos;Rodr¡guez;EST0209;Pass5355;1;100000209;carlos.rodr¡guez209@correo.com;NOC
Valentina;P‚rez;EST0210;Pass6671;1;100000210;valentina.p‚rez210@correo.com;DIU
Ana;G¢mez;EST0211;Pass9513;1;100000211;ana.g¢mez211@correo.com;NOC
Carlos;Rodr¡guez;EST0212;Pass3689;1;100000212;carlos.rodr¡guez212@correo.com;DIU
Sof¡a;G¢mez;EST0213;Pass3700;1;100000213;sof¡a.g¢mez213@correo.com;NOC
Juan;Mart¡nez;EST0214;Pass2130;1;100000214;juan.mart¡nez214@correo.com;DIU
Daniela;Mart¡nez;EST0215;Pass7382;1;100000215;daniela.mart¡nez215@correo.com;NOC
Ana;G¢mez;EST0216;Pass2057;1;100000216;ana.g¢mez216@correo.com;DIU
Luis;Castro;EST0217;Pass3256;1;100000217;luis.castro217@correo.com;NOC
Carlos;P‚rez;EST0218;Pass5749;1;100000218;carlos.p‚rez218@correo.com;DIU
Sof¡a;Torres;EST0219;Pass9741;1;100000219;sof¡a.torres219@correo.com;NOC
Carlos;Mart¡nez;EST0220;Pass7023;1;100000220;carlos.mart¡nez220@correo.com;DIU
Sof¡a;Torres;EST0221;Pass9661;1;100000221;sof¡a.torres221@correo.com;NOC
Juan;P‚rez;EST0222;Pass1594;1;100000222;juan.p‚rez222@correo.com;NOC
Carlos;Hern ndez;EST0223;Pass4388;1;100000223;carlos.hern ndez223@correo.com;DIU
Juan;Torres;EST0224;Pass8739;1;100000224;juan.torres224@correo.com;NOC
Sof¡a;Torres;EST0225;Pass3512;1;100000225;sof¡a.torres225@correo.com;DIU
Camilo;Mart¡nez;EST0226;Pass2305;1;100000226;camilo.mart¡nez226@correo.com;NOC
Sof¡a;L¢pez;EST0227;Pass1478;1;100000227;sof¡a.l¢pez227@correo.com;DIU
Sof¡a;S nchez;EST0228;Pass8638;1;100000228;sof¡a.s nchez228@correo.com;NOC
Ana;Mart¡nez;EST0229;Pass8086;1;100000229;ana.mart¡nez229@correo.com;DIU
Juan;G¢mez;EST0230;Pass4055;1;100000230;juan.g¢mez230@correo.com;NOC
Carlos;Torres;EST0231;Pass5152;1;100000231;carlos.torres231@correo.com;DIU
Ana;Ram¡rez;EST0232;Pass6329;1;100000232;ana.ram¡rez232@correo.com;NOC
Juan;Castro;EST0233;Pass9124;1;100000233;juan.castro233@correo.com;DIU
Valentina;P‚rez;EST0234;Pass9157;1;100000234;valentina.p‚rez234@correo.com;NOC
Valentina;Torres;EST0235;Pass3151;1;100000235;valentina.torres235@correo.com;DIU
Mar¡a;Mart¡nez;EST0236;Pass3324;1;100000236;mar¡a.mart¡nez236@correo.com;NOC
Valentina;L¢pez;EST0237;Pass4927;1;100000237;valentina.l¢pez237@correo.com;DIU
Sof¡a;Rodr¡guez;EST0238;Pass4553;1;100000238;sof¡a.rodr¡guez238@correo.com;NOC
Andr‚s;Rodr¡guez;EST0239;Pass7869;1;100000239;andr‚s.rodr¡guez239@correo.com;NOC
Sof¡a;Hern ndez;EST0240;Pass8286;1;100000240;sof¡a.hern ndez240@correo.com;DIU
Ana;Hern ndez;EST0241;Pass4681;1;100000241;ana.hern ndez241@correo.com;NOC
Daniela;Hern ndez;EST0242;Pass0484;1;100000242;daniela.hern ndez242@correo.com;DIU
Mar¡a;P‚rez;EST0243;Pass9216;1;100000243;mar¡a.p‚rez243@correo.com;NOC
Daniela;Ram¡rez;EST0244;Pass4664;1;100000244;daniela.ram¡rez244@correo.com;DIU
Sof¡a;Mart¡nez;EST0245;Pass2183;1;100000245;sof¡a.mart¡nez245@correo.com;NOC
Carlos;G¢mez;EST0246;Pass3387;1;100000246;carlos.g¢mez246@correo.com;DIU
Carlos;G¢mez;EST0247;Pass2406;1;100000247;carlos.g¢mez247@correo.com;NOC
Luis;Ram¡rez;EST0248;Pass2277;1;100000248;luis.ram¡rez248@correo.com;DIU
Sof¡a;L¢pez;EST0249;Pass7863;1;100000249;sof¡a.l¢pez249@correo.com;NOC
Andr‚s;P‚rez;EST0250;Pass0975;1;100000250;andr‚s.p‚rez250@correo.com;DIU
Sof¡a;Hern ndez;EST0251;Pass1279;1;100000251;sof¡a.hern ndez251@correo.com;NOC
Valentina;Hern ndez;EST0252;Pass8566;1;100000252;valentina.hern ndez252@correo.com;DIU
Juan;Ram¡rez;EST0253;Pass4136;1;100000253;juan.ram¡rez253@correo.com;NOC
Juan;Mart¡nez;EST0254;Pass4054;1;100000254;juan.mart¡nez254@correo.com;DIU
Mar¡a;L¢pez;EST0255;Pass6175;1;100000255;mar¡a.l¢pez255@correo.com;NOC
Carlos;G¢mez;EST0256;Pass7415;1;100000256;carlos.g¢mez256@correo.com;NOC
Juan;L¢pez;EST0257;Pass7893;1;100000257;juan.l¢pez257@correo.com;DIU
Daniela;Rodr¡guez;EST0258;Pass7604;1;100000258;daniela.rodr¡guez258@correo.com;NOC
Daniela;Rodr¡guez;EST0259;Pass6205;1;100000259;daniela.rodr¡guez259@correo.com;DIU
Sof¡a;Mart¡nez;EST0260;Pass1549;1;100000260;sof¡a.mart¡nez260@correo.com;NOC
Luis;G¢mez;EST0261;Pass6883;1;100000261;luis.g¢mez261@correo.com;DIU
Daniela;Hern ndez;EST0262;Pass4909;1;100000262;daniela.hern ndez262@correo.com;NOC
Valentina;Ram¡rez;EST0263;Pass7337;1;100000263;valentina.ram¡rez263@correo.com;DIU
Luis;Hern ndez;EST0264;Pass4303;1;100000264;luis.hern ndez264@correo.com;NOC
Carlos;Torres;EST0265;Pass7357;1;100000265;carlos.torres265@correo.com;DIU
Camilo;Torres;EST0266;Pass1955;1;100000266;camilo.torres266@correo.com;NOC
Andr‚s;P‚rez;EST0267;Pass0116;1;100000267;andr‚s.p‚rez267@correo.com;DIU
Carlos;Castro;EST0268;Pass5673;1;100000268;carlos.castro268@correo.com;NOC
Camilo;L¢pez;EST0269;Pass1500;1;100000269;camilo.l¢pez269@correo.com;DIU
Luis;Torres;EST0270;Pass8888;1;100000270;luis.torres270@correo.com;NOC
Luis;Castro;EST0271;Pass9687;1;100000271;luis.castro271@correo.com;DIU
Andr‚s;P‚rez;EST0272;Pass8098;1;100000272;andr‚s.p‚rez272@correo.com;NOC
Luis;S nchez;EST0273;Pass8975;1;100000273;luis.s nchez273@correo.com;NOC
Luis;Castro;EST0274;Pass9239;1;100000274;luis.castro274@correo.com;DIU
Daniela;Castro;EST0275;Pass4411;1;100000275;daniela.castro275@correo.com;NOC
Mar¡a;L¢pez;EST0276;Pass5992;1;100000276;mar¡a.l¢pez276@correo.com;DIU
Mar¡a;P‚rez;EST0277;Pass7940;1;100000277;mar¡a.p‚rez277@correo.com;NOC
Mar¡a;Mart¡nez;EST0278;Pass7538;1;100000278;mar¡a.mart¡nez278@correo.com;DIU
Valentina;P‚rez;EST0279;Pass0836;1;100000279;valentina.p‚rez279@correo.com;NOC
Valentina;Hern ndez;EST0280;Pass4343;1;100000280;valentina.hern ndez280@correo.com;DIU
Andr‚s;L¢pez;EST0281;Pass4172;1;100000281;andr‚s.l¢pez281@correo.com;NOC
Juan;Ram¡rez;EST0282;Pass1493;1;100000282;juan.ram¡rez282@correo.com;DIU
Daniela;Mart¡nez;EST0283;Pass2704;1;100000283;daniela.mart¡nez283@correo.com;NOC
Luis;L¢pez;EST0284;Pass9874;1;100000284;luis.l¢pez284@correo.com;DIU
Sof¡a;Castro;EST0285;Pass4579;1;100000285;sof¡a.castro285@correo.com;NOC
Carlos;G¢mez;EST0286;Pass3718;1;100000286;carlos.g¢mez286@correo.com;DIU
